Provincia,Paso,General
CABA,1,1
Buenos Aires,1,1
Catamarca,0,0
Chaco,1,0
Chubut,1,1
Cordoba,1,1
Corrientes,1,1
Entre Rios,1,1
Formosa,0,0
Jujuy,1,1
La Pampa,1,1
La Rioja,0,0
Mendoza,1,1
Misiones,1,1
Neuquen,1,1
Rio Negro,1,1
Salta,0,0
San Juan,0,0
San Luis,1,1
Santa Cruz,1,1
Santa Fe,1,1
Santiago del Estero,0,0
Tierra del Fuego,1,0
Tucuman,0,0
